COUNTRY,COUNTRY_CODE,SEX_CODE,AGEGROUP_CODE,FRACTION_POP,WEIGHTED_DEATHS_100K,AGE_MIDPOINT,WEIGHTED_AGE,GENDER_RATIO
China,CHN,MLE,YEARS55-59,0.033230659,26.48151227,57,1.894147571,1.052441413
China,CHN,MLE,YEARS5-9,0.032244356,0.564276222,7,0.225710489,1.052441413
China,CHN,MLE,YEARS60-64,0.026988039,34.29909888,62,1.673258423,1.052441413
China,CHN,MLE,YEARS65-69,0.024561885,49.91466305,67,1.645646307,1.052441413
China,CHN,MLE,YEARS70-74,0.013809244,50.67716458,72,0.994265587,1.052441413
China,CHN,MLE,YEARS75-79,0.008246827,50.68334762,77,0.635005657,1.052441413
China,CHN,MLE,YEARS80-84,0.004780883,53.39959944,82,0.392032442,1.052441413
China,CHN,MLE,YEARS85PLUS,0.002607454,67.06007726,88,0.229455989,1.052441413
France,FRA,FMLE,YEARS0-1,0.00523529,1.755392586,0.5,0.002617645,0.938082776
France,FRA,FMLE,YEARS10-14,0.029900538,0.131562367,12,0.358806457,0.938082776
France,FRA,FMLE,YEARS1-4,0.022307247,0.263225515,2.5,0.055768118,0.938082776
France,FRA,FMLE,YEARS15-19,0.029085211,0.267583946,17,0.494448595,0.938082776
France,FRA,FMLE,YEARS20-24,0.028108392,0.373841612,22,0.618384621,0.938082776
France,FRA,FMLE,YEARS25-29,0.028769641,0.526484436,27,0.776780316,0.938082776
France,FRA,FMLE,YEARS30-34,0.031070603,0.755015647,32,0.994259288,0.938082776
France,FRA,FMLE,YEARS35-39,0.031527,1.273690782,37,1.166498983,0.938082776
France,FRA,FMLE,YEARS40-44,0.031018676,2.090658738,42,1.302784377,0.938082776
France,FRA,FMLE,YEARS45-49,0.034252959,4.11035507,47,1.609889069,0.938082776
France,FRA,FMLE,YEARS50-54,0.034024277,6.362539775,52,1.769262397,0.938082776
France,FRA,FMLE,YEARS55-59,0.033469891,10.09117215,57,1.907783789,0.938082776
France,FRA,FMLE,YEARS5-9,0.029564516,0.118258066,7,0.206951615,0.938082776
France,FRA,FMLE,YEARS60-64,0.031640742,13.06762635,62,1.96172599,0.938082776
France,FRA,FMLE,YEARS65-69,0.030913225,17.09501318,67,2.071186046,0.938082776
France,FRA,FMLE,YEARS70-74,0.0277342,23.66836647,72,1.996862416,0.938082776
France,FRA,FMLE,YEARS75-79,0.017936018,23.99839152,77,1.381073353,0.938082776
France,FRA,FMLE,YEARS80-84,0.016573982,42.98628014,82,1.359066538,0.938082776
France,FRA,FMLE,YEARS85PLUS,0.022841427,210.7167329,88,2.010045581,0.938082776
France,FRA,MLE,YEARS0-1,0.005495033,2.239775319,0.5,0.002747516,0.938082776
France,FRA,MLE,YEARS10-14,0.031327321,0.175432998,12,0.375927854,0.938082776
France,FRA,MLE,YEARS1-4,0.023299543,0.335513426,2.5,0.058248859,0.938082776
France,FRA,MLE,YEARS15-19,0.030323908,0.615575341,17,0.515506444,0.938082776
France,FRA,MLE,YEARS20-24,0.028678546,1.046766937,22,0.630928017,0.938082776
France,FRA,MLE,YEARS25-29,0.028299994,1.358399715,27,0.764099839,0.938082776
France,FRA,MLE,YEARS30-34,0.029938877,1.814295941,32,0.958044061,0.938082776
France,FRA,MLE,YEARS35-39,0.030416339,2.518472898,37,1.125404556,0.938082776
France,FRA,MLE,YEARS40-44,0.030245081,3.904639978,42,1.270293409,0.938082776
France,FRA,MLE,YEARS45-49,0.033586873,7.140569188,47,1.578583028,0.938082776
France,FRA,MLE,YEARS50-54,0.032891415,10.76536007,52,1.710353571,0.938082776
France,FRA,MLE,YEARS55-59,0.031672663,19.19680085,57,1.805341772,0.938082776
France,FRA,MLE,YEARS5-9,0.030890347,0.148273666,7,0.21623243,0.938082776
France,FRA,MLE,YEARS60-64,0.029041361,26.77613442,62,1.800564354,0.938082776
France,FRA,MLE,YEARS65-69,0.027531727,34.06225315,67,1.844625736,0.938082776
France,FRA,MLE,YEARS70-74,0.023848141,40.60384465,72,1.717066143,0.938082776
France,FRA,MLE,YEARS75-79,0.014257682,35.54582725,77,1.097841522,0.938082776
France,FRA,MLE,YEARS80-84,0.011316046,51.26960739,82,0.927915732,0.938082776
France,FRA,MLE,YEARS85PLUS,0.010965269,121.2298176,88,0.964943645,0.938082776
Germany,DEU,FMLE,YEARS0-1,0.004851345,1.285121279,0.5,0.002425672,0.975896242
Germany,DEU,FMLE,YEARS10-14,0.021873846,0.104994461,12,0.262486152,0.975896242
Germany,DEU,FMLE,YEARS1-4,0.018395682,0.174758977,2.5,0.045989204,0.975896242
Germany,DEU,FMLE,YEARS15-19,0.023794963,0.254606102,17,0.404514367,0.975896242
Germany,DEU,FMLE,YEARS20-24,0.026043258,0.33074938,22,0.572951682,0.975896242
Germany,DEU,FMLE,YEARS25-29,0.02792042,0.457894888,27,0.75385134,0.975896242
Germany,DEU,FMLE,YEARS30-34,0.031499953,0.919798619,32,1.007998487,0.975896242
Germany,DEU,FMLE,YEARS35-39,0.031314541,1.337130921,37,1.158638034,0.975896242
Germany,DEU,FMLE,YEARS40-44,0.029639806,1.997722891,42,1.244871831,0.975896242
Germany,DEU,FMLE,YEARS45-49,0.032179407,3.832567353,47,1.512432121,0.975896242
Germany,DEU,FMLE,YEARS50-54,0.040900285,7.967375556,52,2.12681483,0.975896242
Germany,DEU,FMLE,YEARS55-59,0.040266846,13.34040596,57,2.295210202,0.975896242
Germany,DEU,FMLE,YEARS5-9,0.021682915,0.1019097,7,0.151780404,0.975896242
Germany,DEU,FMLE,YEARS60-64,0.03460199,18.92036819,62,2.145323387,0.975896242
Germany,DEU,FMLE,YEARS65-69,0.02937447,23.77275894,67,1.96808952,0.975896242
Germany,DEU,FMLE,YEARS70-74,0.024396349,31.76160674,72,1.756537127,0.975896242
Germany,DEU,FMLE,YEARS75-79,0.02484476,48.42492256,77,1.913046553,0.975896242
Germany,DEU,FMLE,YEARS80-84,0.022405282,88.06620296,82,1.837233156,0.975896242
Germany,DEU,FMLE,YEARS85PLUS,0.020113331,122.6852858,88,1.769973138,0.975896242
Germany,DEU,MLE,YEARS0-1,0.005100815,1.598085336,0.5,0.002550407,0.975896242
