COUNTRY,COUNTRY_CODE,SEX_CODE,AGEGROUP_CODE,DEATHS
Netherlands,NLD,Female,YEARS 01-04,31.4
Netherlands,NLD,Female,YEARS 15-19,52.9
Netherlands,NLD,Female,YEARS 20-24,59.5
Netherlands,NLD,Female,YEARS 25-29,91.4
Netherlands,NLD,Female,YEARS 30-34,142.1
Netherlands,NLD,Female,YEARS 35-39,195.5
Netherlands,NLD,Female,YEARS 40-44,329.9
Netherlands,NLD,Female,YEARS 45-49,643.3
Netherlands,NLD,Female,YEARS 50-54,1250.9
Netherlands,NLD,Female,YEARS 55-59,2080.7
Netherlands,NLD,Female,YEARS 05-09,15.1
Netherlands,NLD,Female,YEARS 60-64,2983.3
Netherlands,NLD,Female,YEARS 65-69,4115.3
Netherlands,NLD,Female,YEARS 70-74,5996.2
Netherlands,NLD,Female,YEARS 75-79,6789.5
Netherlands,NLD,Female,YEARS 80-84,9722.7
Netherlands,NLD,Female,YEARS 85+,30372.8
Netherlands,NLD,Male,YEARS 0-01,315
Netherlands,NLD,Male,YEARS 10-14,24.4
Netherlands,NLD,Male,YEARS 01-04,40.5
Netherlands,NLD,Male,YEARS 15-19,104.6
Netherlands,NLD,Male,YEARS 20-24,156
Netherlands,NLD,Male,YEARS 25-29,213
Netherlands,NLD,Male,YEARS 30-34,247.5
Netherlands,NLD,Male,YEARS 35-39,307.9
Netherlands,NLD,Male,YEARS 40-44,477.6
Netherlands,NLD,Male,YEARS 45-49,887.3
Netherlands,NLD,Male,YEARS 50-54,1597.6
Netherlands,NLD,Male,YEARS 55-59,2589
Netherlands,NLD,Male,YEARS 05-09,21.4
Netherlands,NLD,Male,YEARS 60-64,3963.3
Netherlands,NLD,Male,YEARS 65-69,5750.2
Netherlands,NLD,Male,YEARS 70-74,8383
Netherlands,NLD,Male,YEARS 75-79,8700.9
Netherlands,NLD,Male,YEARS 80-84,10574.6
Netherlands,NLD,Male,YEARS 85+,18356.6
Poland,POL,Female,YEARS 0-01,602.7
Poland,POL,Female,YEARS 10-14,71
Poland,POL,Female,YEARS 01-04,87.1
Poland,POL,Female,YEARS 15-19,137.8
Poland,POL,Female,YEARS 20-24,175.6
Poland,POL,Female,YEARS 25-29,251.3
Poland,POL,Female,YEARS 30-34,450.5
